STT,Question
62,找到联想公司物资采购表，综合入库明细、出库明细和库存明细，分析物品流动情况：哪种物品流动最频繁？是否存在库存积压？
63,"What color is the cat shown in the file ""cat.xlsx""?"
64,"According to the podcast audio, why do Chinese people love drinking hot water?"
65,"Trong brand Evoluderm tại deal list 07-07 Võ Hà Linh, sản phẩm nào có mức giảm tuyệt đối lớn nhất từ giá livestream xuống giá sau voucher 30%? Yêu cầu trả về duy nhất số thứ tự của sản phẩm đó.  "
66,"Tại deal list 07-07 Võ Hà Linh, trong nhóm sản phẩm chứa 'serum', lấy 5 dòng có giá voucher 30% cao nhất. Hãy tính tổng giá voucher 30% và tổng giá voucher 25% của 5 dòng này?"
67,"Trong list deal khung bán hàng 24/06-25/06, brand Coolmate xuất hiện ở những khung giờ nào trong của list deal Diệp Lê và list deal Will x B Trần? Có bao nhiêu khung giờ trùng nhau giữa hai deal, đó là khung giờ nào?"
68,"Trong bộ hồ sơ AYCF 2026 gồm thư mời Ref. No. 747 gửi Vietnam National University, Hanoi, Administrative Note_AYCF 2026, và Tentative Programme_AYCF 2026, nếu VNU (Vietnam National University, Hanoi) cử đủ số người được mời thì tổng phí đăng ký onsite là bao nhiêu USD? Theo ban tổ chức thì đoàn nên đến trước mấy giờ ngày 28/7?"
69,"Trong các đơn vị tham gia UET Job Fair 2022 và quay lại ở UET Job Fair 2025, đơn vị nào là nhà tài trợ kim cương trong cả hai năm?"
70,"Theo sơ đồ sắp xếp vị trí trong chương trình Ngày hội tự hào sinh viên Trường đại học Công nghệ năm 2025, đơn vị nào được xếp vị trí GẦN NHẤT theo khoảng cách tới nhà G3?"
71,"Theo thông tin từ email đến từ Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội, thời hạn cuối cùng để nhà trường thực hiện việc xét tốt nghiệp bổ sung đợt tháng 06 năm 2026 cho sinh viên theo lịch DỰ KIẾN và THỰC TẾ là bao nhiêu? Yêu cầu trả về thời gian bao gồm ngày và giờ cụ thể. "
72,اين ولد صدام حسين؟
73,"Theo thông báo từ email đến từ Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội, tại sao viên chức, người lao động và người học của trường được nghỉ 04 ngày liên tiếp theo lịch nghỉ Tết dương lịch năm 2026?"
74,"Hãy tra cứu sơ đồ của Đại học Quốc gia Hà Nội tại 144 Xuân Thuỷ, Hà Nội và cho biết Trường Đại học Ngoại ngữ (ĐH Ngoại ngữ) sở hữu bao nhiêu toà nhà? Yêu cầu câu trả lời là chữ số duy nhất (ví dụ với đáp án 20 toà nhà, cần trả về: 20) "
75,"Trong bài hát ""Trường Đại học Công nghệ mến yêu"", cụm từ ""Trường Đại học Công nghệ chúng tôi"" được lặp lại bao nhiêu lần? Yêu cầu câu trả lời chỉ bao gồm chữ số duy nhất thể hiện đáp án."
76,"Trong dòng kẻ nhạc đầu tiên (chỉ tính dòng kẻ phần đánh tay phải - khoá sol) của bản nhạc Fur Elise có bao nhiêu nốt móc đơn (eighth note)?
Yêu cầu câu trả lời chỉ bao gồm chữ số duy nhất thể hiện đáp án."
77,"""Twinkle Twinkle Little Star"" 악보에서 높은음자리표 부분만 고려했을 때, G(솔) 음은 총 몇 번 등장합니까? 답은 숫자로만 작성하십시오."
78,"During an indoor environment survey, an exploration camera moved through several rooms before entering a laboratory. In the laboratory, several white lab coats can be seen hanging on the wall near the work area. Based on the recorded exploration footage, how many lab coats are hanging there?"
79,"An exploration camera recorded a walkthrough of an indoor environment, including a dining room. Based on what is visible in the recorded footage, where is the vase in the dining room located?"
80,"Based on the 3D model of the cake, how many strawberries are on it?"
81,Which character from Minecraft is represented by one of the 3D models?
82,"Trong chapter có tên gọi ""Thần đồng toán học"" của truyện tranh Tý Quậy, lần đầu tiên Tý thi được bao nhiêu điểm?"
83,"Phòng thí nghiệm iSE Trường Đại học Công nghệ, ĐHQGHN có bao nhiêu công trình đạt giải trong Hội nghị Sinh viên nghiên cứu khoa học cấp khoa công nghệ thông tin năm 2024-2025? Yêu cầu câu trả lời CHỈ bao gồm chữ số duy nhất thể hiện đáp án"
84,Một sinh viên AUN muốn tham gia cả AUN-BUU Summer Camp YATHA 2026 và Chula Summer Camp 2026. Hai chương trình này có bị trùng lịch không?
85,"Một gia đình có hai con và muốn đăng ký tham gia chương trình HUS STEM & ENGLISH CAMP2026. Bé lớn đăng ký khóa học ""IELTS Booster"" kéo dài 6 tuần, trong khi bé nhỏ đăng ký khóa ""STEM & Speech Master"" kéo dài 3 tuần. Tổng mức học phí niêm yết mà gia đình phải trả (chưa bao gồm các ưu đãi đăng ký sớm) là bao nhiêu?"
86,"Vào thứ bảy ngày 06/01/2026, iSE Lab của Trường Đại học Công nghệ, ĐHQGHN đã tổ chức hoạt động gì? "
87,"Một lớp học có tròn 100 sinh viên, không có ai bỏ học. Kết quả cuối năm như sau: 80 sinh viên đạt học tập và rèn luyện Khá; 10 sinh viên đạt học tập Giỏi và rèn luyện Tốt; 2 sinh viên đạt học tập Xuất sắc và rèn luyện Xuất sắc. 8 sinh viên còn lại đạt học tập và rèn luyện Trung bình. Theo quy định khen thưởng tại Trường Đại học Công nghệ được công bố từ năm 2023, tập thể này có thể đạt danh hiệu gì? "
88,"Trong nhóm video pha cà phê, có những biến thể nào của quy trình bắt đầu bằng xay hạt?"
89,Có bao nhiều video có bước thêm nguyên liệu vào cà phê sau khi pha? Trả lời đúng số lượng file và tên file
90,"Dựa vào các video thay lốp xe, quy trình có những bước chính nào?"
91,"Mình có một chiếc laptop bị nứt màn hình sau khi vô tình làm rơi. Hiện tại máy vẫn lên hình nên mình đang phân vân giữa việc mang ra cửa hàng sửa hay mua màn hình về tự thay để tiết kiệm chi phí. Trước khi quyết định, mình muốn xem thử có những video hướng dẫn nào để đánh giá xem việc thay có quá phức tạp không. Không biết hiện nay đã có hướng dẫn thay màn hình thường có cho những hãng laptop nào?"
92,"Trong số các kịch bản va chạm của xe tự hành, có bao nhiêu kịch bản va chạm với xe kích thước lớn (Bus / Truck)? Yêu cầu câu trả lời chỉ chứa duy nhất chữ số thể hiện đáp án."
93,Có bao nhiêu đoạn đường được sử dụng trong việc xây dựng các kịch bản va chạm cho xe tự hành? Yêu cầu câu trả lời chỉ chứa duy nhất chữ số thể hiện đáp án.
94,"A newly enrolled university student is looking for recreational facilities around campus. A recorded conversation between two students and a town map are available in the dataset. Based on the available information, which numbered location on the map corresponds to the bowling alley?
Yêu cầu câu trả lời chỉ chứa duy nhất chữ số thể hiện đáp án."
95,"The data lake contains an archived IELTS Listening practice test about Anglia Sculpture Park. The test includes a narrated visitor guide audio and a park map used in a route-following exercise. A visitor is currently at the Visitor Centre and plans to walk to the Long House. According to the available materials, what should the visitor do immediately after crossing the bridge?"
96,"Tính tổng số trường thành viên (bao gồm các trường đại học, trường trung học cơ sở, trường trung học phổ thông) trực thuộc Đại học Quốc gia Hà Nội? Yêu cầu câu trả lời chỉ chứa duy nhất chữ số thể hiện đáp án."
97,"Trong logo của các trường đại học thành viên trực thuộc Đại học Quốc gia Hà Nội, có bao nhiêu trường có logo có chứa màu vàng? 
Yêu cầu câu trả lời chỉ chứa duy nhất chữ số thể hiện đáp án."
98,Trong địa đạo diễn ca của Cụ Tả Ao có 2 câu thơ nói về việc lựa chọn mồ mả phong thủy thế nào để có thể giúp con cháu sống lâu. Hãy tìm và trích hai câu thơ đó
99,"Trong tiểu thuyết ""Quỷ Bí Chi Chủ"", hệ thống Beyonder được chia thành nhiều ""Pathway"" (Con đường). Tổng cộng có bao nhiêu Con đường tiêu chuẩn (Standard Pathways)? Trả về số duy nhất"
100,"Trong video demo sản phẩm của nhóm AMTA (Astral) tại Hội nghị Sinh viên Nghiên cứu Khoa học năm 2026, những đặc điểm nổi bật nào của sản phẩm được thể hiện?"
101,"Trong slide báo cáo nghiên cứu khoa học của AMTA (Astral), hai chỉ số S_VisAWI và S_UEQ được sử dụng để đánh giá những phương diện nào của ứng dụng được tạo ra?"
102,"Hồ sơ có tiêu đề: ""Hồ sơ v/v thanh tra công tác quản lý và sử dụng nguồn hỗ trợ sản phẩm, dịch vụ công ích thuỷ lợi và phí dịch vụ thuỷ nông nội đồng 02 năm 2019-2020 của HTX DVNN Tượng Lĩnh. Năm 2022"" có thời hạn bảo quản là bao nhiêu? Căn cứ vào điều bao nhiêu của phụ lục trong thông tư tương ứng? Nội dung của căn cứ đó là gì? Trả lời theo định dạng: THBQ/Điều/Nội dung căn cứ"
103,"Trong Chu Dịch diễn giải, ý nghĩa của 64 quẻ Kinh Dịch được trình bày theo một trình tự phản ánh quá trình vạn vật sinh thành, phát triển, thịnh suy và biến đổi. Trong tiến trình ấy, sau khi vạn vật tích tụ và dần hình thành lễ nghĩa, khuôn phép, việc hành xử theo trật tự đưa sự vật đến trạng thái thông đạt và an định. Tuy nhiên, trạng thái này không thể duy trì mãi; khi sự hanh thông đi đến cực điểm, sự vật lại chuyển sang bế tắc theo quy luật thịnh suy. Hãy xác định quẻ thể hiện sự thông thuận được mô tả và trích nguyên văn phần Soán truyện của quẻ đó (không được trích sai, không được chuyển hán việt sang tiếng việt, giữ nguyên văn, không phải tiếng Trung)."
104,Ai là nhân vật chính của bộ truyện Quỷ Bí Chi Chủ?
105,"Theo báo cáo thường niên của FPT giai đoạn 2020–2024, nếu loại trừ thị trường Nhật Bản khỏi doanh thu nước ngoài, thì các thị trường nước ngoài còn lại đóng góp bao nhiêu phần trăm vào tổng doanh thu của FPT? Liệt kê tỉ lệ doanh thu theo từng năm"
106,"Trong Tử Vi Đẩu Số Toàn Thư, tác giả bàn về quan niệm dân gian thường gọi là “năm xung năm tuổi”. Ông cho rằng cách hiểu máy móc này không có căn cứ chắc chắn, bởi trong nhiều trường hợp sự xung khắc lại có thể dẫn đến phát đạt. Để minh chứng, tác giả dẫn lời của một nhân vật trong một tác phẩm mệnh lý, diễn giải rằng khi cái vượng xung cái suy thì cái suy bị tiêu, còn khi cái suy xung cái vượng thì cái vượng lại phát. Hãy trích nguyên văn 2 câu được tác giả dẫn để minh họa cho lập luận này (Kèm theo 2 câu dịch từ hán việt tương ứng)."
107,"Trong Tử Vi Đẩu Số Toàn Thư, có một bài ca luận về nam mệnh, trong đó hai sao khi ở miếu địa và hội cùng các sao thích hợp có thể khiến một người trở nên uy quyền, đủ sức “chấn áp hương bang”. Trái lại, khi một trong các sao ấy thủ Mệnh và rơi vào nhân cung, người sinh ở phương Tây Bắc làm việc khó thành; dù phá hết tổ nghiệp vẫn chưa hết tai ương, thậm chí phải mang tật mới tránh được hung họa. Hãy xác định bài ca được nói đến và trích nguyên văn tám câu của bài ca ấy."
108,"Trong truyện Vĩnh Thoái Hiệp Sĩ, khi còn trẻ, Encrid từng bị cuốn theo một bài hát của người hát rong lan truyền khắp lục địa. Bài hát kể về hình tượng một hiệp sĩ sẽ kết thúc thời đại chiến tranh và chính nó đã góp phần khiến Encrid tin rằng mình có thể trở thành người ấy. Hãy trích nguyên văn phần lời kết của bài hát được ghi lại trong truyện."
109,"So với năm 2022, các chỉ tiêu hoạt động kinh doanh của FPT đã thay đổi như thế nào? Liệt kê đầy đủ từng chỉ tiêu và sự thay đổi của chúng"
110,"Trong ván đấu giữa Đầu Khương Duy và Fabiano Caruana, Khương Duy đã đi bao nhiêu nước cờ thiên tài và đó là những nước đi gì? "
111,Deep Blue là gì?
